               epoch,      train/box_loss,      train/cls_loss,      train/dfl_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/cls_loss,        val/dfl_loss,               x/lr0,               x/lr1,               x/lr2
                 132,              1.4285,             0.76042,              1.2825,             0.86687,             0.73192,             0.82176,             0.51729,                   0,                   0,                   0,            0.005677,            0.005677,            0.005677
                 133,              1.4306,             0.76146,              1.2802,             0.87101,             0.73257,              0.8226,             0.51819,                   0,                   0,                   0,            0.005644,            0.005644,            0.005644
                 134,              1.4327,             0.76444,              1.2794,              0.8747,              0.7305,             0.82279,             0.51906,                   0,                   0,                   0,            0.005611,            0.005611,            0.005611
                 135,              1.4318,             0.76076,              1.2811,             0.87408,             0.73328,             0.82375,             0.52001,                   0,                   0,                   0,            0.005578,            0.005578,            0.005578
                 136,              1.4276,             0.75926,               1.278,             0.87062,             0.73462,             0.82372,             0.52975,                   0,                   0,                   0,            0.005545,            0.005545,            0.005545
                 137,              1.4247,             0.75823,              1.2799,             0.87059,             0.73481,             0.82454,             0.53072,                   0,                   0,                   0,            0.005512,            0.005512,            0.005512
                 138,              1.4168,             0.75286,              1.2782,             0.86965,             0.73556,             0.82518,             0.53411,                   0,                   0,                   0,            0.005479,            0.005479,            0.005479
                 139,              1.4193,             0.75239,              1.2736,             0.87924,             0.72252,             0.82568,             0.53419,                   0,                   0,                   0,            0.005446,            0.005446,            0.005446
                 140,              1.4176,             0.75163,              1.2761,             0.87432,             0.72858,             0.82636,             0.52866,                   0,                   0,                   0,            0.005413,            0.005413,            0.005413
                 141,              1.4176,             0.75171,              1.2761,             0.87097,             0.72768,             0.82699,             0.52968,                   0,                   0,                   0,             0.00538,             0.00538,             0.00538
                 142,              1.4196,             0.75314,              1.2782,             0.87282,             0.72664,              0.8275,             0.52977,                   0,                   0,                   0,            0.005347,            0.005347,            0.005347
                 143,              1.4075,             0.74732,              1.2723,             0.87933,             0.71987,             0.82796,              0.5307,                   0,                   0,                   0,            0.005314,            0.005314,            0.005314
                 144,              1.4091,             0.74866,              1.2737,             0.88094,             0.71982,             0.82822,             0.53092,                   0,                   0,                   0,            0.005281,            0.005281,            0.005281
                 145,              1.4088,             0.74659,              1.2719,              0.8779,             0.72054,              0.8287,             0.53392,                   0,                   0,                   0,            0.005248,            0.005248,            0.005248
                 146,               1.411,             0.74644,              1.2717,              0.7962,             0.81015,             0.82919,              0.5322,                   0,                   0,                   0,            0.005215,            0.005215,            0.005215
                 147,              1.4062,             0.74601,               1.275,              0.7965,             0.80993,             0.82904,             0.53232,                   0,                   0,                   0,            0.005182,            0.005182,            0.005182
                 148,              1.4021,             0.74166,              1.2689,              0.7961,             0.81036,             0.82927,             0.53269,                   0,                   0,                   0,            0.005149,            0.005149,            0.005149
                 149,              1.3994,             0.74084,              1.2695,             0.87459,             0.72805,             0.82986,             0.53228,                   0,                   0,                   0,            0.005116,            0.005116,            0.005116
                 150,              1.3972,             0.73854,              1.2659,             0.87464,             0.73031,             0.82996,             0.53256,                   0,                   0,                   0,            0.005083,            0.005083,            0.005083
                 151,              1.3996,             0.73942,              1.2678,             0.86962,             0.73287,             0.83015,             0.53283,                   0,                   0,                   0,             0.00505,             0.00505,             0.00505
                 152,              1.3946,             0.73826,              1.2627,             0.87275,             0.73046,             0.83038,             0.53352,                   0,                   0,                   0,            0.005017,            0.005017,            0.005017
                 153,              1.3911,             0.73416,              1.2646,             0.87499,             0.73275,             0.83082,             0.53407,                   0,                   0,                   0,            0.004984,            0.004984,            0.004984
                 154,              1.3908,             0.73673,              1.2658,             0.86864,             0.73811,              0.8315,             0.53508,                   0,                   0,                   0,            0.004951,            0.004951,            0.004951
                 155,              1.3897,              0.7359,              1.2653,             0.86868,              0.7378,             0.83125,             0.53508,                   0,                   0,                   0,            0.004918,            0.004918,            0.004918
                 156,              1.3865,             0.73177,               1.265,             0.86908,             0.73722,             0.83165,             0.53542,                   0,                   0,                   0,            0.004885,            0.004885,            0.004885
                 157,              1.3898,             0.73425,              1.2646,             0.86865,             0.73752,             0.83161,             0.53631,                   0,                   0,                   0,            0.004852,            0.004852,            0.004852
                 158,              1.3882,             0.73161,              1.2622,             0.87066,             0.73568,              0.8321,             0.53895,                   0,                   0,                   0,            0.004819,            0.004819,            0.004819
                 159,              1.3854,             0.73123,              1.2594,             0.87584,             0.73487,             0.83228,             0.53952,                   0,                   0,                   0,            0.004786,            0.004786,            0.004786
                 160,              1.3841,             0.73198,               1.262,             0.87322,              0.7356,             0.83241,             0.53986,                   0,                   0,                   0,            0.004753,            0.004753,            0.004753
                 161,              1.3791,             0.72864,              1.2589,             0.80117,             0.81266,             0.83296,             0.54048,                   0,                   0,                   0,             0.00472,             0.00472,             0.00472
                 162,              1.3766,             0.72347,              1.2557,             0.80168,             0.81355,             0.83339,             0.54134,                   0,                   0,                   0,            0.004687,            0.004687,            0.004687
                 163,              1.3776,             0.72524,              1.2586,             0.80303,             0.81361,             0.83415,             0.54207,                   0,                   0,                   0,            0.004654,            0.004654,            0.004654
                 164,               1.374,             0.72265,              1.2572,             0.80375,             0.81332,             0.83427,             0.54039,                   0,                   0,                   0,            0.004621,            0.004621,            0.004621
